id,nama_daerah_otonom_hasil_pemekaran,ibukota_hasil_pemekaran,uu_pembentukan,tentang,tggl_berlaku_uu,daerah_induk,wilayah_provinsi,luas_wilayah_induk,luas_wilayah_hasil_pemekaran,segmen_batas_daerah_otonom_hasil_pemekaran,jumlah_pddk_daerah_induk,jumlah_pddk_daerah_hasil_pemekaran,jumlah_kecamatan_daerah_otonom_hasil_pemekaran,jumlah_kelurahan_otonom_hasil_pemekaran,jumlah_desa_daerah_otonom_hasil_pemekaran,status_pembentukan,keterangan
47,KABUPATEN SUMBA TENGAH,WAIBAKUL,NO. 3 TAHUN 2007,Pembentukan Kabupaten Sumba Tengah di Provinsi Nusa Tenggara Timur,2 Januari 2007,KABUPATEN SUMBA BARAT,PROVINSI NUSA TENGGARA TIMUR,2183.18,1868.74,"Kab. Sumba Barat
Kab. Sumba Timur",148420,87644,5,-,65,INISIATIF DPR-RI,-
48,KOTA BONTANG,-,NO. 47 TAHUN 1999,"Pembentukan Kabupaten Nunukan, Kabupaten Malinau, Kabupaten Kutai Barat, Kabupaten Kutai Timur, dan Kota Bontang",04 Oktober 1999,KABUPATEN KUTAI,PROVINSI KALIMANTAN TIMUR,23601.91,406.7,"Kab. Kutai Timur
Kab. Kutai Kartanegara",677755,179408,3,15,-,-,Perubahan Nama Daerah Induk berdasarkan PP No. 8 Tahun 2002 tentang Perubahan Nama Kabupaten Kutai menjadi Kabupaten Kutai Kartanegara
49,KABUPATEN KUTAI TIMUR,SANGATTA,NO. 47 TAHUN 1999,"Pembentukan Kabupaten Nunukan, Kabupaten Malinau, Kabupaten Kutai Barat, Kabupaten Kutai Timur, dan Kota Bontang",04 Oktober 1999,KABUPATEN KUTAI,PROVINSI KALIMANTAN TIMUR,23601.91,35747.5,"Kab. Malinau 
Kota Bontang 
Kab. Kutai Kartanegara
Kab. Berau",677755,420760,18,2,139,-,Perubahan Nama Daerah Induk berdasarkan PP No. 8 Tahun 2002 tentang Perubahan Nama Kabupaten Kutai menjadi Kabupaten Kutai Kartanegara
50,KABUPATEN SERUYAN,KUALA PEMBUANG,NO. 5 TAHUN 2002,"Pembentukan Kabupaten Katingan, Kabupaten Seruyan, Kabupaten Sukamara, Kabupaten Lamandau, Kabupaten Gunung Mas, Kabupaten Pulang Pisau, Kabupaten Murung Raya, Dan Kabupaten Barito Timur Di Provinsi Kalimantan Tengah",10 April 2002,KABUPATEN KOTAWARINGIN TIMUR,PROVINSI KALIMANTAN TENGAH,16796,16404,Kab. Kotawaringin Timur Kab. Lamandau Kab. Katingan Kab. Melawi Prov. Kalimantan Barat Kab. Kotawaringin Barat ,411852,147140,10,3,97,-,-
51,KABUPATEN KATINGAN,KASONGAN,NO. 5 TAHUN 2002,"Pembentukan Kabupaten Katingan, Kabupaten Seruyan, Kabupaten Sukamara, Kabupaten Lamandau, Kabupaten Gunung Mas, Kabupaten Pulang Pisau, Kabupaten Murung Raya, Dan Kabupaten Barito Timur Di Provinsi Kalimantan Tengah",10 April 2002,KABUPATEN KOTAWARINGIN TIMUR,PROVINSI KALIMANTAN TENGAH,16796,17500,Kab. Kotawaringin Timur Kab. Seruyan Kab. Gunung Mas Kota Palangkaraya Kab. Pulang Pisau Kab. Sintang Prov. Kalimantan Barat Kab. Melawi Prov Kalimantan Barat ,411852,155503,13,7,154,-,-
52,KABUPATEN SUKAMARA,SUKAMARA,NO. 5 TAHUN 2002,"Pembentukan Kabupaten Katingan, Kabupaten Seruyan, Kabupaten Sukamara, Kabupaten Lamandau, Kabupaten Gunung Mas, Kabupaten Pulang Pisau, Kabupaten Murung Raya, Dan Kabupaten Barito Timur Di Provinsi Kalimantan Tengah",10 April 2002,KABUPATEN KOTAWARINGIN BARAT,PROVINSI KALIMANTAN TENGAH,10759,3827,Kab. Lamandau Kab. Kotawaringin Kab. Ketapang Prov. Kalimantan Barat ,250041,61431,5,3,29,-,-
53,KABUPATEN PULANG PISAU,PULANG PISAU,NO. 5 TAHUN 2002,"Pembentukan Kabupaten Katingan, Kabupaten Seruyan, Kabupaten Sukamara, Kabupaten Lamandau, Kabupaten Gunung Mas, Kabupaten Pulang Pisau, Kabupaten Murung Raya, Dan Kabupaten Barito Timur Di Provinsi Kalimantan Tengah",10 April 2002,KABUPATEN KAPUAS,PROVINSI KALIMANTAN TENGAH,14999,8997,Kab. KatinganKab. KapuasKota PalangkarayaKab. Gunung Mas ,413929,131682,8,4,95,-,-
54,KABUPATEN GUNUNG MAS,KUALA KURUN,NO. 5 TAHUN 2002,"Pembentukan Kabupaten Katingan, Kabupaten Seruyan, Kabupaten Sukamara, Kabupaten Lamandau, Kabupaten Gunung Mas, Kabupaten Pulang Pisau, Kabupaten Murung Raya, Dan Kabupaten Barito Timur Di Provinsi Kalimantan Tengah",10 April 2002,KABUPATEN KAPUAS,PROVINSI KALIMANTAN TENGAH,14999,10805,Kab. Murung RayaKab. KatinganKota PalangkarayaKab. KapuasKab. Sintang Prov. Kalimantan BaratKab. Pulang Pisau ,413929,140949,12,13,114,-,-
55,KABUPATEN MURUNG RAYA,PURUK CAHU,NO. 5 TAHUN 2002,"Pembentukan Kabupaten Katingan, Kabupaten Seruyan, Kabupaten Sukamara, Kabupaten Lamandau, Kabupaten Gunung Mas, Kabupaten Pulang Pisau, Kabupaten Murung Raya, Dan Kabupaten Barito Timur Di Provinsi Kalimantan Tengah",10 April 2002,KABUPATEN BARITO UTARA,PROVINSI KALIMANTAN TENGAH,8300,23700,Kab. Gunung Mas Kab. Kapuas Kab. Kapuas Hulu Kab. Sintang Prov. Kalimantan Barat Kab. Barito Utara Kab. Mahakam Ulu Prov. Kalimantan Timur ,155501,108754,10,9,116,-,-
56,KABUPATEN BURU SELATAN,NAMROLE,NO. 32 TAHUN 2008,Pembentukan Kabupaten Buru Selatan di Provinsi Maluku,21 Juli 2008,KABUPATEN BURU,PROVINSI MALUKU,4932.32,3780.56,Kab. Buru ,134618,76179,6,-,79,INISIATIF DPR-RI,-
57,KABUPATEN WAY KANAN,BLAMBANGAN UMPU,NO. 12 TAHUN 1999,"Pembentukan Kabupaten Daerah Tingkat II Way Kanan, Kabupaten Daerah Tingkat II Lampung Timur, dan Kotamadya Daerah Tingkat II Metro",20 April 1999,KABUPATEN LAMPUNG UTARA,PROVINSI LAMPUNG,2725.87,3921.63,Kab. Ogan Komering IlirKab. Ogan Komering Ulu TimurKab. Ogan Komering Ulu SelatanKab. Lampung UtaraKab. Lampung BaratKab. Tulang Bawang Barat,616744,478604,14,6,221,-,-
58,KABUPATEN MESUJI,SIDOMULYO,NO. 49 TAHUN 2008,Pembentukan Kabupaten Mesuji di Provinsi Lampung,26 November 2008,KABUPATEN TULANG BAWANG,PROVINSI LAMPUNG,3466.32,2184,Kab. Ogan Komering Ilir (Prov. Sumatera Selatan) Kab. Tulang BawangKab. Tulang Bawang Barat,423401,231816,7,0,105,INISIATIF DPR-RI,-
59,KOTA METRO,-,NO. 12 TAHUN 1999,"Pembentukan Kabupaten Daerah Tingkat II Way Kanan, Kabupaten Daerah Tingkat II Lampung Timur, dan Kotamadya Daerah Tingkat II Metro",20 April 1999,KABUPATEN LAMPUNG TENGAH,PROVINSI LAMPUNG,3802.68,61.79,Kab. Lampung TimurKab. Lampung Tengah,1474704,169013,5,22,0,-,-
60,KABUPATEN PESISIR BARAT,KRUI,NO. 22 TAHUN 2012,Pembentukan Kabupaten Pesisir Barat di Provinsi Lampung,17 November 2012,KABUPATEN LAMPUNG BARAT,PROVINSI LAMPUNG,2142.78,2907.23,Kab. Ogan Komering Ulu Selatan (Prov. Sumatera Selatan)Kab. Lampung BaratKab. Tanggamus,304197,159544,11,2,116,INISIATIF DPR-RI,-
61,KABUPATEN PESAWARAN,GEDONG TATAAN,NO. 33 TAHUN 2007,Pembentukan Kabupaten Pesawaran Di Provinsi Lampung,10 Agustus 2007,KABUPATEN LAMPUNG SELATAN,PROVINSI LAMPUNG,700.32,2243.51,"Kab. Lampung Selatan
Kab. Tanggamus
Kab. Pringsewu
Kota Bandar Lampung
Kab. Lampung Tengah",1042754,550272,11,-,144,-,-
62,KABUPATEN PRINGSEWU,PRINGSEWU,NO. 48 TAHUN 2008,Pembentukan Kabupaten Pringsewu di Provinsi Lampung,26 November 2008,KABUPATEN TANGGAMUS,PROVINSI LAMPUNG,3020.64,625,Kab. TanggamusKab. PesawaranKab. Lampung Tengah,645679,423257,9,5,126,INISIATIF DPR-RI,-
63,KABUPATEN KEPULAUAN ANAMBAS,SIANTAN,NO. 33 TAHUN 2008,Pembentukan Kabupaten Kepulauan Anambas di Provinsi Kepulauan Riau,21 Juli 2008,KABUPATEN NATUNA,PROVINSI KEPULAUAN RIAU,2009.04,590.14,Tidak ada batas darat,81542,45845,9,2,52,INISIATIF DPR-RI,-
64,KOTA BATAM,-,NO. 53 TAHUN 1999,"Pembentukan Kabupaten Pelalawan, Kabupaten Rokan Hulu, Kabupaten Rokan Hilir, Kabupaten Siak, Kabupaten Karimun, Kabupaten Natuna, Kabupaten Kuantan Singingi, dan Kota Batam",4 Oktober 1999,KABUPATEN BINTAN,PROVINSI KEPULAUAN RIAU,1318.21,960.25,Tidak ada batas darat,154964,1081466,12,64,-,-,-
65,KOTA TANJUNG PINANG,-,NO. 5 TAHUN 2001,Pembentukan Kota Tanjung Pinang,21 Juni 2001,KABUPATEN BINTAN,PROVINSI KEPULAUAN RIAU,1318.21,144.56,Kab. Bintan,154964,217284,4,18,-,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
66,KABUPATEN NATUNA,RANAI,NO. 53 TAHUN 1999,"Pembentukan Kabupaten Pelalawan, Kabupaten Rokan Hulu, Kabupaten Rokan Hilir, Kabupaten Siak, Kabupaten Karimun, Kabupaten Natuna, Kabupaten Kuantan Singingi, dan Kota Batam",4 Oktober 1999,KABUPATEN BINTAN,PROVINSI KEPULAUAN RIAU,1318.21,2009.04,Tidak ada batas darat,154964,81542,15,7,70,-,-
67,KABUPATEN LINGGA,DAIK,NO. 31 TAHUN 2003,Pembentukan Kabupaten Lingga di Provinsi Kepulauan Riau,18 Desember 2003,KABUPATEN BINTAN,PROVINSI KEPULAUAN RIAU,1318.21,2266.77,"Kab. Rejang Lebong
Kab. Musi Rawas",154964,100403,13,7,75,-,-
68,KABUPATEN MALINAU,MALINAU KOTA,NO. 47 TAHUN 1999,"Pembentukan Kabupaten Nunukan, Kabupaten Malinau, Kabupaten Kutai Barat, Kabupaten Kutai Timur, dan Kota Bontang",04 Oktober 1999,KABUPATEN BULUNGAN,PROVINSI KALIMANTAN UTARA,13925.72,13925.72,"Kab. Berau Prov. Kalimantan Timur 
Kab. Kutai Timur Prov. Kalimantan Timur 
Kab. Kutai Kartanegara Prov. Kalimantan Timur 
Kab. Mahakam Ulu Prov. Kalimantan Timur 
Kab. Nunukan 
Kab. Bulungan 
Kab. Tana Tidung ",136619,136619,15,-,109,-,-
69,KABUPATEN NUNUKAN,KOTA NUNUKAN,NO. 47 TAHUN 1999,"Pembentukan Kabupaten Nunukan, Kabupaten Malinau, Kabupaten Kutai Barat, Kabupaten Kutai Timur, dan Kota Bontang",04 Oktober 1999,KABUPATEN BULUNGAN,PROVINSI KALIMANTAN UTARA,13925.72,13841.9,"Kab. Malinau 
Kab. Tana Tidung ",136619,178975,19,8,232,-,-
70,KABUPATEN LOMBOK UTARA,TANJUNG,NO. 26 TAHUN 2008,Pembentukan Kabupaten Lombok Utara Di Provinsi Nusa Tenggara Barat,21 Juli 2008,KABUPATEN LOMBOK BARAT,PROVINSI NUSA TENGGARA BARAT,896.56,776.25,"Kab Lombok Timur
Kab. Lombok Tengah
Kab. Lombok Barat",718648,239332,5,-,33,INISIATIF DPR-RI,-
71,KABUPATEN PULAU TALIABU,BOBONG,NO. 6 TAHUN 2013,Pembentukan Kabupaten Pulau Taliabu di Provinsi Maluku Utara,11 Januari 2013,KABUPATEN KEPULAUAN SULA,PROVINSI MALUKU UTARA,3304.32,1469.93,Garis Pantai,111716,58725,8,-,71,INISIATIF DPR-RI,-
72,KABUPATEN PULAU MOROTAI,MOROTAI SELATAN,NO. 53 TAHUN 2008,Pembentukan Kabupaten Pulau Morotai di Provinsi Maluku Utara, 26 November 2008,KABUPATEN HALMAHERA UTARA,PROVINSI MALUKU UTARA,3896.9,2476,Garis Pantai,197791,73659,5,-,88,INISIATIF DPR-RI,-
73,KOTA TIDORE KEPULAUAN,-,NO. 1 TAHUN 2003,"Pembentukan Kabupaten Halmahera Utara, Kabupaten Halmahera Selatan, Kabupaten Kepulauan Sula, Kabupaten Halmahera Timur, dan Kota Tidore Kepulauan Di Provinsi Maluku Utara",25 Maret 2003,KABUPATEN HALMAHERA TENGAH,PROVINSI MALUKU UTARA,2653.76,1645.73,"Kab. Halmahera Barat
Kab. Halmahera Timur
 Kab.Halmahera Tengah
Kab. Halmahera Selatan",54457,113485,8,40,49,INISIATIF DPR-RI,-
74,KABUPATEN KEPULAUAN SULA,SANANA,NO. 1 TAHUN 2003,"Pembentukan Kabupaten Halmahera Utara, Kabupaten Halmahera Selatan, Kabupaten Kepulauan Sula, Kabupaten Halmahera Timur, dan Kota Tidore Kepulauan Di Provinsi Maluku Utara",25 Maret 2003,KABUPATEN HALMAHERA TENGAH,PROVINSI MALUKU UTARA,2653.76,3304.32,Garis Pantai,54457,111716,12,-,78,INISIATIF DPR-RI,-
75,KABUPATEN SUMBA BARAT DAYA,TAMBOLAKA,NO. 16 TAHUN 2007,Pembentukan Kabupaten Sumba Barat Daya di Provinsi Nusa Tenggara Timur,02 Januari 2007,KABUPATEN SUMBA BARAT,PROVINSI NUSA TENGGARA TIMUR,2183.18,1480.46,Kab. Sumba Barat,148420,311376,11,2,173,INISIATIF DPR-RI,-
76,KABUPATEN HALMAHERA TIMUR,KOTA MABA,NO. 1 TAHUN 2003,"Pembentukan Kabupaten Halmahera Utara, Kabupaten Halmahera Selatan, Kabupaten Kepulauan Sula, Kabupaten Halmahera Timur, dan Kota Tidore Kepulauan Di Provinsi Maluku Utara",25 Maret 2003,KABUPATEN HALMAHERA TENGAH,PROVINSI MALUKU UTARA,2653.76,6571.37,"Kab. Halmahera Barat
 Kota Tidore Kepulauan
Kab. Halmahera Tengah",54457,94937,10,-,102,INISIATIF DPR-RI,-
77,KABUPATEN HALMAHERA UTARA,KOTA TOBELO,NO. 1 TAHUN 2003,"Pembentukan Kabupaten Halmahera Utara, Kabupaten Halmahera Selatan, Kabupaten Kepulauan Sula, Kabupaten Halmahera Timur, dan Kota Tidore Kepulauan Di Provinsi Maluku Utara",25 Maret 2003,KABUPATEN HALMAHERA BARAT,PROVINSI MALUKU UTARA,1704.2,3896.9,Kab Halmahera Barat,134741,197791,17,-,186,INISIATIF DPR-RI,-
78,KABUPATEN HALMAHERA SELATAN,KOTA LABUHA,NO. 1 TAHUN 2003,"Pembentukan Kabupaten Halmahera Utara, Kabupaten Halmahera Selatan, Kabupaten Kepulauan Sula, Kabupaten Halmahera Timur, dan Kota Tidore Kepulauan Di Provinsi Maluku Utara",25 Maret 2003,KABUPATEN HALMAHERA BARAT,PROVINSI MALUKU UTARA,1704.2,8148.9,"Kota Tidore Kepulauan
Kab. Halmahera Tengah",134741,250773,30,-,249,INISIATIF DPR-RI,-
79,KABUPATEN MALUKU BARAT DAYA,TIAKUR,NO. 31 TAHUN 2008,Pembentukan Kabupaten Maluku Barat Daya di Provinsi Maluku,21 Juli 2008,KABUPATEN MALUKU TENGGARA BARAT,PROVINSI MALUKU,4465.79,4581.06,Garis Pantai,125736,72857,17,1,117,INISIATIF DPR-RI,Perubahan Nama Daerah Induk berdasarkan PP No. 2 Tahun 2019 tentang Perubahan Nama Kabupaten Maluku Tenggara Barat menjadi Kabupaten Kepulauan Tanimbar di Provinsi Maluku
80,KOTA TUAL,-,NO. 31 TAHUN 2007,Pembentukan Kota Tual di Provinsi Maluku,10 Agustus 2007,KABUPATEN MALUKU TENGGARA,PROVINSI MALUKU,1031.81,254.39,Garis Pantai,126610,88269,5,3,27,INISIATIF DPR-RI,-
81,KABUPATEN KEPULAUAN TANIMBAR,SAUMLAKI,NO. 46 TAHUN 1999,"Pembentukan Propinsi Maluku Utara, Kabupaten Buru, dan Kabupaten Maluku Tenggara Barat",4 Oktober 1999,KABUPATEN MALUKU TENGGARA,PROVINSI MALUKU,1031.81,4465.79,Garis Pantai,126610,125736,10,2,80,-,KABUPATEN MALUKU TENGGARA BARAT GANTI NAMA KABUPATEN KEPULAUAN TANIMBAR
82,KABUPATEN KEPULAUAN ARU,DOBO,NO. 40 TAHUN 2003,"Pembentukan Kabupaten Seram Bagian Timur, Kabupaten Seram Bagian Barat, dan Kabupaten Kepulauan Aru di Provinsi Maluku",18 Desember 2003,KABUPATEN MALUKU TENGGARA,PROVINSI MALUKU,1031.81,8152.42,Garis Pantai,126610,104762,10,2,117,INISIATIF DPR-RI,-
83,KABUPATEN BURU,NAMLEA,NO. 46 TAHUN 1999,"Pembentukan Propinsi Maluku Utara, Kabupaten Buru, dan Kabupaten Maluku Tenggara Barat",4 Oktober 1999,KABUPATEN MALUKU TENGAH,PROVINSI MALUKU,7953.81,4932.32,Kab. Buru Selatan,424952,134618,10,-,82,-,-
84,KABUPATEN SERAM BAGIAN BARAT,"DATARAN HUNIPOPU (DE JURE), PIRU (DE FACTO)",NO. 40 TAHUN 2003,"Pembentukan Kabupaten Seram Bagian Timur, Kabupaten Seram Bagian Barat, dan Kabupaten Kepulauan Aru di Provinsi Maluku",18 Desember 2003,KABUPATEN MALUKU TENGAH,PROVINSI MALUKU,7953.81,5033.38,Kab. Maluku Tengah,424952,210167,11,-,92,INISIATIF DPR-RI,-
85,KABUPATEN PEGUNUNGAN BINTANG,OKSIBIL,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN JAYAWIJAYA,PROVINSI PAPUA,7030.66,15682,"Kab Keerom
 Kab. Jayapura
Kab. Yahukimo
Kab. Boven Digoel",271341,110180,34,-,277,-,-
86,KABUPATEN KEEROM,WARIS,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN JAYAPURA,PROVINSI PAPUA,11157.15,8390,"Kota Jayapura
Kab. Jayapura
Kab. Pegunungan Bintang",168624,62936,11,-,91,-,-
87,KABUPATEN SARMI,KOTA SARMI,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN JAYAPURA,PROVINSI PAPUA,11157.15,17742,"Kab. Mamberamo Raya
Kab. Jayapura
Kab. Mamberamo Tengah,
Kab. Yalimo",168624,40668,10,2,92,-,-
88,KABUPATEN TOLIKARA,KARUBAGA,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN JAYAPURA,PROVINSI PAPUA,11157.15,5588.13,"Kab. Mamberamo Raya
Kab. Puncak Jaya
Kab. Maberamo Tengah
Kab. Lanny Jaya
Kab. Jayawijaya",168624,249182,46,4,541,-,-
89,KABUPATEN MIMIKA,TIMIKA,NO. 45 TAHUN 1999,"Pembentukan Propinsi Irian Jaya Tengah, Propinsi Irian Jaya Barat, Kabupaten Paniai, Kabupaten Mimika, Kabupaten Puncak Jaya, Dan Kota Sorong",4 Oktober 1999,KABUPATEN FAK FAK,PROVINSI PAPUA,14320,21633,"Kab. Dogiyai
Kab. Deiyai
Kab. Paniai
Kab. Puncak
Kab. Intan Jaya
Kab. Kaimana
Kab. Nduga
Kab Asmat",87024,309099,18,9,133,PENINGKATAN STATUS DARI KABUPATEN ADMINISTRATIF MENJADI KABUPATEN OTONOM,-
90,KABUPATEN NAGEKEO,MBAY,NO. 2 TAHUN 2007,Pembentukan Kabupaten Nagekeo di Provinsi Nusa Tenggara Timur,02 Januari 2007,KABUPATEN NGADA,PROVINSI NUSA TENGGARA TIMUR,1645.88,1416.96,"Kab. Ngada
Kab. Ende",167878,163284,7,16,97,-,-
91,KABUPATEN MANGGARAI BARAT,LABUAN BAJO,NO. 8 TAHUN 2003,Pembentukan Kabupaten Manggarai Barat di Provinsi Nusa Tenggara Timur,25 Februari 2003,KABUPATEN MANGGARAI,PROVINSI NUSA TENGGARA TIMUR,2096.44,2397.03,Kab. Manggarai,321408,260398,12,5,164,-,-
92,KABUPATEN MANGGARAI TIMUR,BORONG,NO. 36 TAHUN 2007,Pembentukan Kabupaten Manggarai Timur Di Provinsi Nusa Tenggara Timur,10 Agustus 2007,KABUPATEN MANGGARAI,PROVINSI NUSA TENGGARA TIMUR,2096.44,2642.93,"Kab. Manggarai
Kab. Ngada",321408,267310,9,17,159,INISIATIF DPR-RI,-
93,KABUPATEN ROTE NDAO,BAA,NO. 9 TAHUN 2002,Pembentukan Kabupaten Rote-Ndao Di Provinsi Nusa Tenggara Timur,10 April 2002,KABUPATEN KUPANG,PROVINSI NUSA TENGGARA TIMUR,5434.76,1280,Garis Pantai,379368,146961,10,7,112,-,-
94,KABUPATEN LEMBATA,LEWOLEBA,NO. 52 TAHUN 1999,Pembentukan Kabupaten Lembata,04 Oktober 1999,KABUPATEN FLORES TIMUR,PROVINSI NUSA TENGGARA TIMUR,1813.2,1266,Garis Pantai,283082,137920,9,7,144,-,-
95,KABUPATEN MALAKA,BETUN,NO. 3 TAHUN 2013,Pembentukan Kabupaten Malaka di Provinsi Nusa Tenggara Timur,11 Januari 2013,KABUPATEN BELU,PROVINSI NUSA TENGGARA TIMUR,1284.97,1160.63,"Kab Belu
Kab Timor Tengah Utara",224409,193430,12,-,127,-,-
96,KABUPATEN WAROPEN,BOTAWA,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN YAPEN WAROPEN,PROVINSI PAPUA,2050,10977.09,"Kab. Nabire
Kab. Mamberamo Raya
Kab. Intan Jaya,
Kab. Puncak",111837,35475,11,-,100,-,Perubahan Nama Daerah Induk berdasarkan PP No. 40 Tahun 2008 tentang Perubahan Nama Kabupaten Yapen Waropen menjadi Kabupaten Kepulauan Yapen Provinsi Papua
97,KABUPATEN MAMBERAMO RAYA,BARUMO,NO. 19 TAHUN 2007,Pembentukan Kabupaten Mamberamo Raya Di Provinsi Papua,15 Maret 2007,KABUPATEN SARMI,PROVINSI PAPUA,17742,23813.91,"Kab. Waropen
Kab. Sarmi
Kab. Puncak
Kab. Puncak Jaya
Kab. Tolikara
Kab. Mamberamo Tengah",40668,37529,8,-,60,INISIATIF DPR-RI,-
98,KABUPATEN DEIYAI,WAGHETE,NO. 55. TAHUN 2008,Pembentukan Kabupaten Deiyai di Provinsi Papua,26 November 2008,KABUPATEN PANIAI,PROVINSI PAPUA,6525.25,537.39,Kab. PaniaiKab. DogiyaiKab Mimika,120409,90020,5,0,67,INISIATIF DPR-RI,-
99,KABUPATEN DOGIYAI,KIGAMANI,NO. 8 TAHUN 2008,Pembentukan Kabupaten Dogiyai Di Provinsi Papua,04 Januari 2008,KABUPATEN NABIRE,PROVINSI PAPUA,11112.61,4237.4,"Kab. Nabire
Kab. Kaimana
Kab. Paniai
Kab. Deiyai
Kab. Mimika",170319,114225,10,-,79,INISIATIF DPR-RI,-
100,KABUPATEN PANIAI,ENAROTALI,NO. 45 TAHUN 1999,"Pembentukan Propinsi Irian Jaya Tengah, Propinsi Irian Jaya Barat, Kabupaten Paniai, Kabupaten Mimika, Kabupaten Puncak Jaya, Dan Kota Sorong",4 Oktober 1999,KABUPATEN NABIRE,PROVINSI PAPUA,11112.61,6525.25,"Kab. Intan Jaya
Kab Nabire,
Kab. Dogiyai
Kab. Mimika
Kab Deiyai",170319,120409,23,5,216,PENINGKATAN STATUS DARI KABUPATEN ADMINISTRATIF MENJADI KABUPATEN OTONOM,-
101,KABUPATEN MAPPI,KEPI,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN MERAUKE,PROVINSI PAPUA,44071,24118,"Kab. Asmat
Kab. Boven Digoel
Kab. Marauke",225098,105930,15,2,162,-,-
102,KABUPATEN ASMAT,AGATS,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN MERAUKE,PROVINSI PAPUA,44071,31983.69,"Kab. Nduga
 Kab. Yahukimo
Kab. Mimika
Kab. Boven Digoel
Kab. Mappi",225098,106136,19,-,221,-,-
103,KABUPATEN PUNCAK,IILAGA,NO. 7 TAHUN 2008,Pembentukan Kabupaten Puncak Di Provinsi Papua,04 Januari 2008,KABUPATEN JAYAWIJAYA,PROVINSI PAPUA,7030.66,8055,"Kab. Waropen
Kab. Mamberamo Raya
Kab Intan Jaya
Kab. Puncak Jaya
Kab. Lanny Jaya
Kab. Mimika
Kab. Nduga",271341,174851,25,-,206,INISIATIF DPR-RI,-
104,KABUPATEN NDUGA,KENYAM,NO. 6 TAHUN 2008,Pembentukan Kabupaten Nduga Di Provinsi Papua,04 Januari 2008,KABUPATEN JAYAWIJAYA,PROVINSI PAPUA,7030.66,2168,"Kab. Lanny Jaya
Kab. Puncak
Kab. Mimika
Kab Jaya Wijaya
Kab. Yahukimo
Kab. Asmat",271341,108941,32,-,248,INISIATIF DPR-RI,-
105,KABUPATEN LANNY JAYA,TIOM,NO. 5 TAHUN 2008,Pembentukan Kabupaten Lanny Jaya Di Provinsi Papua,04 Januari 2008,KABUPATEN JAYAWIJAYA,PROVINSI PAPUA,7030.66,2248,"Kab. Tolikara
Kab. Puncak Jaya
Kab. Mamberamo Tengah
Kab. Puncak
Kab. Jayawijaya
Kab. Nduga",271341,199917,39,1,354,INISIATIF DPR-RI,-
