province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
NANGGROE ACEH DARUSSALAM,1.0,Simeulue,,2002,,"197,253.22",,"PDRB Propinsi Nanggroe Aceh Darussalam Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2002 - 2006 (Jutaan Rupiah)","GRDP the Province of Nanggroe Aceh Darussalam at Current Prices By Regencies/Municipalities, 2002 - 2006 (Million Rupiahs)",1,1,e6d334b59fc9
NANGGROE ACEH DARUSSALAM,2.0,Aceh Singkil,,2002,,"554,486.20",,"PDRB Propinsi Nanggroe Aceh Darussalam Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2002 - 2006 (Jutaan Rupiah)","GRDP the Province of Nanggroe Aceh Darussalam at Current Prices By Regencies/Municipalities, 2002 - 2006 (Million Rupiahs)",1,1,14689115e138
NANGGROE ACEH DARUSSALAM,75.0,Subussalam,#),2002,,-,,"PDRB Propinsi Nanggroe Aceh Darussalam Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2002 - 2006 (Jutaan Rupiah)","GRDP the Province of Nanggroe Aceh Darussalam at Current Prices By Regencies/Municipalities, 2002 - 2006 (Million Rupiahs)",1,1,50c671ddfeec
NANGGROE ACEH DARUSSALAM,3.0,Aceh Selatan,,2002,,"1,743,572.75",,"PDRB Propinsi Nanggroe Aceh Darussalam Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2002 - 2006 (Jutaan Rupiah)","GRDP the Province of Nanggroe Aceh Darussalam at Current Prices By Regencies/Municipalities, 2002 - 2006 (Million Rupiahs)",1,1,68f6b5f7437b
NANGGROE ACEH DARUSSALAM,12.0,Aceh Barat Daya,#),2002,,-,,"PDRB Propinsi Nanggroe Aceh Darussalam Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2002 - 2006 (Jutaan Rupiah)","GRDP the Province of Nanggroe Aceh Darussalam at Current Prices By Regencies/Municipalities, 2002 - 2006 (Million Rupiahs)",1,1,3d5da9ceec61
NANGGROE ACEH DARUSSALAM,4.0,Aceh Tenggara,,2002,,"779,397.85",,"PDRB Propinsi Nanggroe Aceh Darussalam Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2002 - 2006 (Jutaan Rupiah)","GRDP the Province of Nanggroe Aceh Darussalam at Current Prices By Regencies/Municipalities, 2002 - 2006 (Million Rupiahs)",1,1,19322922b83c
NANGGROE ACEH DARUSSALAM,13.0,Gayo Lues,#),2002,,-,,"PDRB Propinsi Nanggroe Aceh Darussalam Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2002 - 2006 (Jutaan Rupiah)","GRDP the Province of Nanggroe Aceh Darussalam at Current Prices By Regencies/Municipalities, 2002 - 2006 (Million Rupiahs)",1,1,8cf6b77a9c17
NANGGROE ACEH DARUSSALAM,5.0,Aceh Timur,,2002,,"3,634,975.98",,"PDRB Propinsi Nanggroe Aceh Darussalam Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2002 - 2006 (Jutaan Rupiah)","GRDP the Province of Nanggroe Aceh Darussalam at Current Prices By Regencies/Municipalities, 2002 - 2006 (Million Rupiahs)",1,1,fad81da8407e
NANGGROE ACEH DARUSSALAM,5.0,Aceh Timur,1),2002,,"2,432,617.91",,"PDRB Propinsi Nanggroe Aceh Darussalam Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2002 - 2006 (Jutaan Rupiah)","GRDP the Province of Nanggroe Aceh Darussalam at Current Prices By Regencies/Municipalities, 2002 - 2006 (Million Rupiahs)",1,1,3708d1724ded
NANGGROE ACEH DARUSSALAM,73.0,Langsa,#),2002,,"746,831.25",,"PDRB Propinsi Nanggroe Aceh Darussalam Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2002 - 2006 (Jutaan Rupiah)","GRDP the Province of Nanggroe Aceh Darussalam at Current Prices By Regencies/Municipalities, 2002 - 2006 (Million Rupiahs)",1,1,22989329fc62
