province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
ACEH,1.0,Kab. Simeulue,,2017,,2 0.762,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,cf77fb3fbed6
ACEH,2.0,Kab. Aceh Singkil,,2017,,1 7.796,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,14d4eae1d7a4
ACEH,3.0,Kab. Aceh Selatan,,2017,,2 0.936,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,8e52ba29d861
ACEH,4.0,Kab. Aceh Tenggara,,2017,,2 0.362,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,478be918fad2
ACEH,5.0,Kab. Aceh Timur,,2017,,2 1.699,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,66e068923d39
ACEH,6.0,Kab. Aceh Tengah,,2017,,3 2.907,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,ffbd0742b6fe
ACEH,7.0,Kab. Aceh Barat,,2017,,3 4.445,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,b520d83041d7
ACEH,8.0,Kab. Aceh Besar,,2017,,2 8.447,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,6dc4ba8306d3
ACEH,9.0,Kab. Pidie,,2017,,2 1.236,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,d15c9eda3037
ACEH,10.0,Kab. Bireun,,2017,,2 5.177,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,58786ff30b46
ACEH,11.0,Kab. Aceh Utara,,2017,,2 9.047,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,1966d0bb7109
ACEH,12.0,Kab. Aceh Barat Daya,,2017,,2 3.292,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,3e16f3cf0203
ACEH,13.0,Kab. Gayo Lues,,2017,,2 6.648,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,5e2643991a7a
ACEH,14.0,Kab. Aceh Tamiang,,2017,,2 2.711,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,504af0ef5cfa
ACEH,15.0,Kab. Nagan Raya,,2017,,4 0.731,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,050b987674a5
ACEH,16.0,Kab. Aceh Jaya,,2017,,2 5.386,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,235b960c1c5c
ACEH,17.0,Kab. Bener Meriah,,2017,,2 8.053,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,4debaaf4420e
ACEH,18.0,Kab. Pidie Jaya,,2017,,1 9.464,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,4ed0fe08aae0
ACEH,71.0,Kota Banda Aceh,,2017,,6 4.211,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,269f0f3cffe9
ACEH,72.0,Kota Sabang,,2017,,3 7.450,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (Ribu Rupiah), 2017-2021","GRDP of Aceh Province at Current Market Prices in Aceh Province (Thousand Rupiahs), 2017-2021",1,1,92d2e94a0631
