province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
ACEH,01,Kab. Simeulue,,2011,,1 .166,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,09de2ee9ef58
ACEH,02,Kab. Aceh Singkil,,2011,,1 .325,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,e527173ce66d
ACEH,03,Kab. Aceh Selatan,,2011,,3 .087,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,8af0762c2450
ACEH,04,Kab. Aceh Tenggara,,2011,,2 .580,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,372bdc5d8e64
ACEH,05,Kab. Aceh Timur,,2011,,7 .695,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,a2d95b507e28
ACEH,06,Kab. Aceh Tengah,,2011,,4 .304,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,06ac91968a79
ACEH,07,Kab. Aceh Barat,,2011,,4 .673,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,7f8140b6dbe4
ACEH,08,Kab. Aceh Besar,,2011,,7 .559,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,c0e65094d8d3
ACEH,09,Kab. Pidie,,2011,,5 .729,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,140702155bb5
ACEH,10,Kab. Bireun,,2011,,7 .665,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,3c3fb13c982f
ACEH,11,Kab. Aceh Utara,,2011,,1 8.796,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,2fabf3d7dab8
ACEH,12,Kab. Aceh Barat Daya,,2011,,2 .389,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,0aa2618686c2
ACEH,13,Kab. Gayo Lues,,2011,,1 .520,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,5f6870ece942
ACEH,14,Kab. Aceh Tamiang,,2011,,4 .615,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,fda216ea7b9a
ACEH,15,Kab. Nagan Raya,,2011,,4 .873,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,586460c23dbe
ACEH,16,Kab. Aceh Jaya,,2011,,1 .526,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,4a09cc8cb5d1
ACEH,17,Kab. Bener Meriah,,2011,,2 .620p,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,648c6ea8d871
ACEH,18,Kab. Pidie Jaya,,2011,,1 .905,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,98bfa6bcc22b
ACEH,71,Kota Banda Aceh,,2011,,1 0b.756,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,f59225cf928f
ACEH,72,Kota Sabang,,2011,,8 03,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,30fe25926f02
ACEH,73,Kota Langsa,,2011,,2 .804,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,4e3c03570dee
ACEH,74,Kota Lhokseumawe,,2011,,9 .050,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,4e7d54e569e9
ACEH,75,Kota Subulussalam,,2011,,9 66,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,ee692ad08e42
ACEH,,Jml Kab./Kota Total of Reg./Mun.,,2011,,1 08.406,,"PDRB Provinsi Aceh Atas Dasar Harga Berlaku Menurut Kabupaten/Kota, 2011-2015 (Miliar Rupiah)","GRDP of Aceh Province at Current Market Prices by Regency/Municipality, 2011-2015 (Billion Rupiahs)",1,1,d67ca206260c
