province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
NANGGROE ACEH DARUSSALAM,01,Simeulue,,2000,,"138.801,52",,"PDRB PROPINSI NANGGROE ACEH DARUSSALAM ATAS DASAR HARGA BERLAKU MENURUT KABUPATEN/KOTA, 2000 - 2003 (JUTAAN RUPIAH)/","GRDP the Province of Nanggroe Aceh Darussalam at Current Pnces By Regencies/Muntcipalittes, 2000 - 2003 (Million Rupiahs)",2,1,60b89e01391d
NANGGROE ACEH DARUSSALAM,03,Aceh Selatan,,2000,,"1.052.362,73",,"PDRB PROPINSI NANGGROE ACEH DARUSSALAM ATAS DASAR HARGA BERLAKU MENURUT KABUPATEN/KOTA, 2000 - 2003 (JUTAAN RUPIAH)/","GRDP the Province of Nanggroe Aceh Darussalam at Current Pnces By Regencies/Muntcipalittes, 2000 - 2003 (Million Rupiahs)",2,1,b33f575c164d
NANGGROE ACEH DARUSSALAM,02,Aceh Singkil,#),2000,,"343.454,89",,"PDRB PROPINSI NANGGROE ACEH DARUSSALAM ATAS DASAR HARGA BERLAKU MENURUT KABUPATEN/KOTA, 2000 - 2003 (JUTAAN RUPIAH)/","GRDP the Province of Nanggroe Aceh Darussalam at Current Pnces By Regencies/Muntcipalittes, 2000 - 2003 (Million Rupiahs)",2,1,b91b41e5a382
NANGGROE ACEH DARUSSALAM,12,Aceh Barat Daya,#),2000,,,,"PDRB PROPINSI NANGGROE ACEH DARUSSALAM ATAS DASAR HARGA BERLAKU MENURUT KABUPATEN/KOTA, 2000 - 2003 (JUTAAN RUPIAH)/","GRDP the Province of Nanggroe Aceh Darussalam at Current Pnces By Regencies/Muntcipalittes, 2000 - 2003 (Million Rupiahs)",2,1,59ee807e0ccd
NANGGROE ACEH DARUSSALAM,04,Aceh Tenggara,,2000,,"546.771,42",,"PDRB PROPINSI NANGGROE ACEH DARUSSALAM ATAS DASAR HARGA BERLAKU MENURUT KABUPATEN/KOTA, 2000 - 2003 (JUTAAN RUPIAH)/","GRDP the Province of Nanggroe Aceh Darussalam at Current Pnces By Regencies/Muntcipalittes, 2000 - 2003 (Million Rupiahs)",2,1,cc6e5387e63a
NANGGROE ACEH DARUSSALAM,13,Gayo Lues,#),2000,,,,"PDRB PROPINSI NANGGROE ACEH DARUSSALAM ATAS DASAR HARGA BERLAKU MENURUT KABUPATEN/KOTA, 2000 - 2003 (JUTAAN RUPIAH)/","GRDP the Province of Nanggroe Aceh Darussalam at Current Pnces By Regencies/Muntcipalittes, 2000 - 2003 (Million Rupiahs)",2,1,9a08b2b5d46d
NANGGROE ACEH DARUSSALAM,05,Aceh Timur,,2000,,"2.904 357,00",,"PDRB PROPINSI NANGGROE ACEH DARUSSALAM ATAS DASAR HARGA BERLAKU MENURUT KABUPATEN/KOTA, 2000 - 2003 (JUTAAN RUPIAH)/","GRDP the Province of Nanggroe Aceh Darussalam at Current Pnces By Regencies/Muntcipalittes, 2000 - 2003 (Million Rupiahs)",2,1,df9e3c050d6c
NANGGROE ACEH DARUSSALAM,,Aceh Timur,'',2000,,"2 607 281,99",,"PDRB PROPINSI NANGGROE ACEH DARUSSALAM ATAS DASAR HARGA BERLAKU MENURUT KABUPATEN/KOTA, 2000 - 2003 (JUTAAN RUPIAH)/","GRDP the Province of Nanggroe Aceh Darussalam at Current Pnces By Regencies/Muntcipalittes, 2000 - 2003 (Million Rupiahs)",2,1,174b86bc9e38
NANGGROE ACEH DARUSSALAM,14,Aceh Tainiang,#),2000,,,,"PDRB PROPINSI NANGGROE ACEH DARUSSALAM ATAS DASAR HARGA BERLAKU MENURUT KABUPATEN/KOTA, 2000 - 2003 (JUTAAN RUPIAH)/","GRDP the Province of Nanggroe Aceh Darussalam at Current Pnces By Regencies/Muntcipalittes, 2000 - 2003 (Million Rupiahs)",2,1,1d9111047969
NANGGROE ACEH DARUSSALAM,,Aceh Tamiang,*',2000,,,,"PDRB PROPINSI NANGGROE ACEH DARUSSALAM ATAS DASAR HARGA BERLAKU MENURUT KABUPATEN/KOTA, 2000 - 2003 (JUTAAN RUPIAH)/","GRDP the Province of Nanggroe Aceh Darussalam at Current Pnces By Regencies/Muntcipalittes, 2000 - 2003 (Million Rupiahs)",2,1,b5f7aa668701
