province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
ACEH,01,Kab. Simeulue,,2008,,5.394,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,5a29f532f0bf
ACEH,02,Kab. Aceh Singkil,,2008,,5.972,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,507503965847
ACEH,03,Kab. Aceh Selatan,,2008,,1 0.359,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,cd479108f982
ACEH,04,Kab. Aceh Tenggara,,2008,,6 .946,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,30b2ebeb41cb
ACEH,05,Kab. Aceh Timur,,2008,,21.620,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,56d0d332fd29
ACEH,,Kab. Aceh Timur,1),2008,,9.610,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,be102e1786db
ACEH,06,Kab. Aceh Tengah,,2008,,1 2.732,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,e90e149034ff
ACEH,07,Kab. Aceh Barat,,2008,,1 4.696,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,00391f24870a
ACEH,08,Kab. Aceh Besar,,2008,,1 3.399,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,48b093a653d3
ACEH,09,Kab. Pidie,,2008,,8.467,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,9a409852d0e1
ACEH,10,Kab. Bireun,,2008,,1 1.985,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,b1af2f08a18f
ACEH,11,Kab. Aceh Utara,,2008,,2 6.357,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,5c74884e08de
ACEH,,Kab. Aceh Utara,1),2008,,9.452,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,d2151bacce42
ACEH,12,Kab. Aceh Barat Daya,,2008,,9.391,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,7a7016198f01
ACEH,13,Kab. Gayo Lues,,2008,,9.095,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,052a48dcab60
ACEH,14,Kab. Aceh Tamiang,,2008,,8.484,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,1eeb85fe2423
ACEH,,Kab. Aceh Tamiang,1),2008,,7.221,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,f0996254b1fb
ACEH,15,Kab. Nagan Raya,,2008,,1 6.712,,"PDRB Per Kapita Atas Dasar Harga Berlaku Di Provinsi Aceh Menurut Kabupaten/Kota, 2008 - 2012 (Ribu Rupiah)","Per Capita GRDP at Current Market Prices By Regency/Municipality, in Aceh province, 2008 - 2012 (Thousand Rupiahs)",3,1,d387dec2473b
