province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
ACEH,01,Kab. Simeulue,,2014,,1 7.316,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,bee6c3bcc12b
ACEH,02,Kab. Aceh Singkil,,2014,,1 5.033,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,a69d04022981
ACEH,03,Kab. Aceh Selatan,,2014,,1 7.784,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,a63e3e89dd3d
ACEH,04,Kab. Aceh Tenggara,,2014,,1 6.886,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,bb8ee4dc28c4
ACEH,05,Kab. Aceh Timur,,2014,,2 2.016,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,e07b16031e51
ACEH,06,Kab. Aceh Tengah,,2014,,2 8.421,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,913115826b19
ACEH,07,Kab. Aceh Barat,,2014,,2 8.747,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,ecab6e7de95d
ACEH,08,Kab. Aceh Besar,,2014,,2 5.089,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,7637c2926dff
ACEH,09,Kab. Pidie,,2014,,1 7.669,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,e1a39a332716
ACEH,10,Kab. Bireun,,2014,,2 2.183,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,580d557c61b2
ACEH,11,Kab. Aceh Utara,,2014,,3 4.803,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,88b32b8061cf
ACEH,12,Kab. Aceh Barat Daya,,2014,,2 0.125,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,38b1caf6da48
ACEH,13,Kab. Gayo Lues,,2014,,2 2.422,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,2bce0d2381a2
ACEH,14,Kab. Aceh Tamiang,,2014,,2 0.746,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,2fe2d610de94
ACEH,15,Kab. Nagan Raya,,2014,,3 5.817,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,87e6c4c6f2e0
ACEH,16,Kab. Aceh Jaya,,2014,,2 1.352 o,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,da21cf2042a1
ACEH,17,Kab. Bener Meriah,,2014,,2 4.715 g,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,52eb2fed1804
ACEH,18,Kab. Pidie Jaya,,2014,,1 6.406 .,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,4a370dc607ad
ACEH,71,Kota Banda Aceh,,2014,,5 4.11s5,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,3286a7f1dcd7
ACEH,72,Kota Sabang,,2014,,3 0p.290,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,adb722a5b5d5
ACEH,73,Kota Langsa,,2014,,b 2 1.877,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,485b8cee5a3d
ACEH,74,Kota Lhokseumawe,,2014,,. 4 9.724,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,0fa961c9e356
ACEH,75,Kota Subulussalam,,2014,,w 1 6.294,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,69b675085549
ACEH,,Jml Kab./Kota Total of Reg./Mun.,,2014,,2 6.136,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,8313515f934c
ACEH,,Provinsi/Province,,2014,,2 6.065,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Aceh Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Aceh Province (thousand rupiahs), 2014-2018",1,1,0981728df505
SUMATERA UTARA,01,Kab. Nias,,2014,,1 8.050,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Sumatera Utara Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Sumatera Utara Province (thousand rupiahs), 2014-2018",2,2,bdeaa3003e40
SUMATERA UTARA,02,Kab. Mandailing Natal,,2014,,2 0.540,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Sumatera Utara Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Sumatera Utara Province (thousand rupiahs), 2014-2018",2,2,257db5b5626b
SUMATERA UTARA,03,Kab. Tapanuli Selatan,,2014,,3 4.087,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Sumatera Utara Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Sumatera Utara Province (thousand rupiahs), 2014-2018",2,2,c822ddd35bd4
SUMATERA UTARA,04,Kab. Tapanuli Tengah,,2014,,1 9.004,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Sumatera Utara Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Sumatera Utara Province (thousand rupiahs), 2014-2018",2,2,94f61a90b853
SUMATERA UTARA,05,Kab. Tapanuli Utara,,2014,,1 8.666,,"PDRB Per Kapita Atas Dasar Harga Berlaku di Provinsi Sumatera Utara Menurut Kabupaten/Kota (ribu rupiah), 2014-2018","Per Capita GRDP at Current Market Prices by Regency/Municipality, in Sumatera Utara Province (thousand rupiahs), 2014-2018",2,2,761a2efd1d61
