province_name,regency_code,region_name_raw,name_flag,year,year_flag,value,value_flag,table_header_raw,table_header_english,page_number,table_number,raw_text_hash
NANGGROE ACEH DARUSSALAM,01,Simeulue,,2000,,"2.432.639,15",,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,f710bb92d837
NANGGROE ACEH DARUSSALAM,03,Aceh Selatan,,2000,,"3.501.223,44",,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,e95f1b613238
NANGGROE ACEH DARUSSALAM,02,Aceh Singkil,#),2000,,"2.885.569,33",,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,ea8bdee25e26
NANGGROE ACEH DARUSSALAM,12,Aceh Barat Daya,#),2000,,,,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,f802582c550d
NANGGROE ACEH DARUSSALAM,04,Aceh Tenggara,,2000,,"2.553.467,40",,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,7bd18c8d7fb2
NANGGROE ACEH DARUSSALAM,13,Gayo Lues,#),2000,,,,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,d72836854c5e
NANGGROE ACEH DARUSSALAM,05,Aceh Timur,,2000,,"4.147.167,81",,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,48dee9dbeb68
NANGGROE ACEH DARUSSALAM,,Aceh Timur,*',2000,,"3.722.970,67",,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,fd1f49d12563
NANGGROE ACEH DARUSSALAM,14,Aceh Tamiang,#),2000,,,,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,8c92c0f94d46
NANGGROE ACEH DARUSSALAM,,Aceh Tamiang,*',2000,,,,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,60f6d042bc28
NANGGROE ACEH DARUSSALAM,73,Langsa,#),2000,,,,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,3b107c8ea0e9
NANGGROE ACEH DARUSSALAM,06,Aceh Tengah,,2000,,"4.563.472,78",,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,0006d3251f17
NANGGROE ACEH DARUSSALAM,07,Aceh Barat,,2000,,"3.046.110,41",,"PDRB PER KAPITA ATAS DASAR HARGA BERUVKU DI PROPINSI NANGGROE ACEH DARUSSALAM MENURUT KABUPATEN/KOTA, 2000 - 2003 (RUPIAH)","Per Capita GRDP at Current Price By Regendes/Munidpaiities, in Nanggroe Aceh Darussalam, 2000 - 2003 (Rupiahs)",2,1,791977e0db79
